,student_id,age,gender,country,device_type,internet_speed_mbps,study_hours_weekly,login_frequency_weekly,avg_session_duration_min,video_watch_time_min,assignments_submitted,forum_posts,quiz_attempts,avg_quiz_score,attendance_rate,engagement_score,final_grade,dropout
46,47,33,Female,USA,Laptop,55.5,15.92,7,-0.6336126382895841,272.08481703895643,9,12,6,84.51,0.8,9.136424085194784,42.76956892615162,0
47,48,32,Male,India,Mobile,54.78,8.78,8,55.33797288683409,257.220944331514,8,4,2,72.8,0.72,5.9201047216575695,36.22475220714395,0
51,52,47,Male,India,Mobile,84.6,10.15,10,30.87140162227889,187.67287851689545,3,10,1,80.28,0.49,4.783364392584477,41.48517191910216,1
52,53,36,Male,USA,Laptop,45.9,6.07,6,25.41913616440597,205.2367230126033,5,6,7,50.39,0.86,5.247183615063016,31.928897295887698,0
54,55,40,Male,Canada,Mobile,46.26,11.25,4,44.51193370738447,245.72057879414356,9,10,5,57.25,0.76,7.403602893970717,28.256273348950184,0
55,56,37,Female,Canada,Mobile,75.99,6.25,12,34.716297239601154,296.5886687325637,5,1,2,83.52,0.96,4.757943343662819,48.69004666804433,0
59,60,22,Female,India,Laptop,52.97,9.86,6,27.69376477094523,356.4775466528819,8,7,2,67.57,0.46,6.740387733264409,26.074081625940902,1
62,63,38,Male,India,Tablet,37.38,6.55,14,76.03220901532325,412.12573604202646,9,6,6,55.82,0.5,7.025628680210132,32.14515599183577,1
64,65,24,Female,USA,Mobile,57.16,11.37,9,60.2573737143758,392.701825579965,0,1,3,71.37,0.77,5.974509127899824,27.303284933822024,0
65,66,35,Female,USA,Tablet,20.08,-0.49,6,53.40598584752786,401.9158405375707,7,11,3,41.53,0.84,3.862579202687854,17.381145392606225,0
67,68,42,Male,USA,Laptop,64.83,13.59,10,41.77970929831423,152.11449576148652,3,2,6,40.23,0.52,6.637572478807432,28.761720576448237,1
69,70,31,Male,USA,Laptop,54.48,12.19,12,25.736363911550093,293.06058887339606,9,13,2,69.82,0.69,7.32230294436698,42.31775963255322,0
70,71,35,Male,USA,Laptop,35.12,17.9,13,24.242540206736667,472.8097813915716,5,8,1,57.71,0.45,8.934048906957857,31.98470107653635,1
73,74,43,Male,USA,Mobile,32.68,8.03,3,46.39340453009451,351.4545342094557,0,4,6,54.57,0.91,5.366272671047279,31.433301234576767,0
76,77,37,Male,Canada,Tablet,78.01,5.05,4,54.72282707114628,482.3337567241494,4,3,7,23.55,0.87,6.126668783620747,12.981565147750656,0
79,80,45,Male,India,Laptop,52.51,1.96,6,54.219912174739534,139.18433387087413,9,13,2,83.21,0.42,3.48392166935437,43.810495714291896,1
80,81,24,Male,USA,Laptop,56.81,4.15,12,29.63310105716596,242.4990667215089,1,5,4,61.45,0.47,3.457495333607545,28.29783090763656,1
88,89,21,Female,USA,Tablet,62.91,11.15,9,28.487830208899556,332.2269830214108,2,6,4,54.97,0.65,6.206134915107055,20.14701083368729,0
89,90,35,Male,Canada,Tablet,73.3,7.84,6,59.48330719871071,284.2150416560649,5,9,4,53.97,0.62,5.573075208280325,30.727167496821437,0
94,95,23,Female,India,Tablet,52.43,6.99,5,32.30975119286821,180.6678301573801,7,3,6,62.8,0.89,5.600339150786901,28.424474050559773,0
96,97,27,Female,USA,Tablet,40.12,9.77,14,28.63433166920443,214.30807758372185,7,9,1,59.86,0.83,5.6025403879186095,31.636324587769387,0
97,98,21,Female,Canada,Tablet,29.98,13.22,2,46.50128337016271,207.91902875611092,7,8,6,102.45,0.84,7.605595143780556,49.850716235426,0
99,100,46,Female,India,Laptop,38.99,10.37,1,40.19280148831519,351.69713066021427,2,2,5,58.12,0.85,6.269485653301071,31.40002243843341,0
101,102,35,Male,Canada,Mobile,30.52,13.97,14,47.70670737498636,268.0770199163769,7,12,2,55.55,0.91,7.331385099581885,36.66646393240079,0
102,103,43,Male,Canada,Mobile,22.44,11.61,12,24.532780019357144,233.8668607411828,8,8,4,75.33,0.74,7.052334303705913,33.80740968895964,0
104,105,19,Male,USA,Mobile,69.24,13.34,1,41.521517852928056,275.4371440539813,4,13,2,78.71,0.45,6.579185720269906,44.0127838453628,1
106,107,47,Male,India,Tablet,40.76,5.12,13,14.532559158836712,170.52239776997968,9,10,6,58.35,0.95,5.388611988849899,36.60994083540302,0
109,110,48,Male,Canada,Laptop,62.17,12.38,11,55.96135611571329,254.39197165083937,1,10,3,47.6,0.8,5.785959858254197,36.2067573198265,0
110,111,33,Male,India,Tablet,45.25,9.65,4,35.74505125906899,283.52918721188206,0,5,5,80.81,0.95,5.31264593605941,40.688313258156526,0
111,112,32,Male,USA,Tablet,49.19,6.55,5,26.160302001440478,319.2989408478748,7,6,5,68.66,0.47,5.961494704239374,24.71014623449144,1
112,113,25,Female,India,Mobile,54.71,9.2,7,45.36843434033845,278.7289752013892,5,11,7,55.8,0.5,6.553644876006946,26.91444547040641,1
115,116,45,Female,USA,Tablet,52.49,12.49,14,51.809581084330205,385.3092351450747,5,11,7,58.43,0.73,8.073546175725374,30.816915352334934,0
116,117,42,Male,India,Tablet,50.23,15.37,3,55.51309811227266,350.4258806748226,2,9,5,78.04,0.72,7.763129403374113,38.92599780734813,0
121,122,30,Male,Canada,Mobile,42.35,5.46,2,42.11601847673264,88.76461710131795,3,7,1,42.57,0.57,2.88182308550659,19.01354816781082,1
123,124,32,Female,Canada,Mobile,25.76,7.0,6,58.04132615997945,184.167556392601,3,1,5,64.36,0.91,4.620837781963004,31.567653973735908,0
124,125,38,Female,India,Mobile,57.03,5.66,6,50.20304010079232,231.88618584946173,8,13,4,57.09,0.54,5.257430929247309,21.17583135103744,1
126,127,43,Female,Canada,Laptop,51.8,4.75,10,56.113293902765385,438.0178487757728,6,3,3,67.15,0.97,5.415089243878864,36.79247444378023,0
128,129,45,Female,USA,Laptop,56.39,7.94,5,27.701151452964908,600.9847381387958,4,0,5,68.02,0.65,7.186923690693979,36.53049012653173,0
129,130,45,Male,Canada,Mobile,42.05,10.45,2,24.134874796252955,434.1922711108401,0,4,7,55.84,0.52,6.705961355554201,29.58792751164956,1
135,136,30,Female,Canada,Laptop,74.66,4.12,8,20.613083724192283,514.4156929239878,1,3,1,99.13,0.95,4.208078464619939,43.09244608937239,0
137,138,42,Female,Canada,Laptop,23.19,15.35,5,28.488506482417517,233.9802721785429,0,9,6,108.86,0.43,6.974901360892714,53.654730129963184,1
140,141,41,Female,USA,Laptop,45.43,9.15,14,65.16723477252832,282.48493793825656,9,4,3,49.03,0.76,6.557424689691283,28.07911116563756,0
141,142,18,Female,USA,Tablet,45.17,13.56,8,41.25829852655559,448.3575824576516,8,2,2,78.0,0.8,8.309787912288257,45.199846197279264,0
144,145,41,Female,Canada,Laptop,38.95,14.81,8,37.41706701700192,314.6459170893975,3,11,2,96.9,0.67,7.016229585446988,47.14686077249259,0
148,149,34,Female,USA,Tablet,84.4,14.86,6,46.530110542539504,388.5661841999266,9,12,6,80.84,0.45,9.400830920999631,47.50033516000217,1
149,150,25,Male,Canada,Tablet,38.11,8.09,4,24.29289617676513,398.6252561425409,4,7,6,73.89,0.69,6.420126280712704,46.009377989773945,0
151,152,20,Female,USA,Mobile,40.22,9.98,8,44.88811054797662,347.01087287557107,5,12,5,68.51,0.43,6.729054364377856,30.3388456515132,1
152,153,18,Male,USA,Mobile,34.1,10.93,13,54.6962319313884,257.4509862908441,4,4,5,55.61,0.92,6.366254931454221,28.4653677679368,0
153,154,44,Male,India,Mobile,51.55,8.45,4,32.59104572239664,375.8697324567221,3,14,2,72.85,0.7,5.41434866228361,36.43545886646925,0
154,155,22,Male,Canada,Mobile,63.06,8.54,1,29.34124304404536,439.5546730126212,3,4,4,80.19,0.59,6.1597733650631055,39.08987508410663,1
156,157,24,Male,India,Mobile,37.51,12.84,11,54.5547391689615,319.3377813514892,4,4,1,83.6,0.49,6.448688906757446,41.35260818077984,1
157,158,43,Female,USA,Tablet,55.6,11.79,3,42.46651029650045,317.6490555493596,3,11,6,90.16,0.52,6.925245277746797,47.99159571104512,1
158,159,26,Female,Canada,Laptop,82.49,12.29,11,45.12453613891002,479.63656991113874,4,12,6,79.71,0.94,8.085182849555693,46.64062668422158,0
159,160,45,Male,Canada,Laptop,47.79,6.4,3,31.38440251430561,138.69005930584638,8,11,7,56.83,0.72,5.613450296529232,42.77258980730329,0
160,161,24,Male,India,Laptop,85.99,9.76,13,53.92121977222344,312.0255232536289,9,7,4,75.55,0.9,7.088127616268144,44.9606639460707,0
164,165,19,Male,Canada,Mobile,55.11,10.56,12,53.71251974247297,386.9781258077015,0,3,1,68.8,0.68,5.302890629038507,36.115252025329546,0
166,167,33,Male,India,Mobile,70.27,12.91,8,25.63160452585788,430.9323693336033,1,6,5,47.7,0.56,7.227661846668016,17.765448147968016,1
167,168,40,Female,USA,Mobile,70.34,13.69,9,47.76454024229845,-0.4338798243438759,6,8,3,75.6,0.46,5.904830600878281,38.42088689929927,1
169,170,47,Male,India,Tablet,34.29,9.4,5,81.74301934866632,341.6922763597272,9,3,7,45.93,0.41,7.728461381798636,26.66749919032885,1
173,174,29,Male,Canada,Laptop,54.22,4.15,14,29.13982438210349,375.4942009408619,1,0,7,76.39,0.86,4.72247100470431,32.29197268312826,0
182,183,31,Female,Canada,Tablet,47.64,12.51,2,44.9384940323185,60.35650670088572,9,5,7,74.61,0.94,7.254782533504429,36.37521204361335,0
187,188,40,Female,Canada,Laptop,5.85,3.74,7,24.09020061640122,257.013081397884,7,6,1,68.44,0.45,4.007065406989421,41.20617097499471,1
189,190,31,Male,USA,Tablet,63.15,16.5,4,26.5299823711138,413.1628719391989,1,0,4,55.83,0.74,8.015814359695995,26.85489327608748,0
190,191,24,Male,USA,Mobile,38.03,19.06,11,34.068083806297004,303.4992457323875,8,12,1,64.64,0.75,9.035496228661936,30.545157909848204,0
192,193,26,Female,Canada,Tablet,61.59,16.71,12,54.07199194428543,328.86432526651413,8,11,6,80.12,0.56,9.457321626332572,49.14295307333512,1
193,194,32,Female,USA,Mobile,65.27,7.64,14,38.2041661811662,172.60798741559654,4,13,1,58.83,0.44,4.155039937077983,35.98363135214295,1
195,196,43,Male,Canada,Mobile,60.42,15.6,14,17.72828753476267,312.89099322832453,1,3,2,85.27,0.85,6.844454966141623,46.384886955475366,0
196,197,27,Male,USA,Mobile,66.44,14.07,8,32.248011092789376,221.41683100375968,0,7,1,53.68,0.64,5.528084155018799,28.100406016284925,0
197,198,45,Female,India,Tablet,58.7,13.5,2,51.18725408234164,237.5416854089042,7,8,1,63.01,0.42,6.837708427044521,36.151694679864114,1
201,202,49,Male,Canada,Tablet,51.88,12.95,6,51.79053237452624,381.4762022258826,8,0,1,98.53,0.82,7.592381011129411,54.97799013802376,0
202,203,24,Female,USA,Tablet,28.19,14.44,1,42.66808239623487,465.7445688620536,4,1,5,71.62,0.43,8.460722844310268,39.21525980549245,1
203,204,34,Female,India,Laptop,8.97,6.18,3,45.88875043264398,319.87414119995907,1,11,7,84.92,0.91,5.053370705999796,44.52636089290625,0
204,205,37,Female,USA,Tablet,78.31,11.23,9,47.2565547736506,351.28717578624844,4,5,1,85.44,0.79,6.125435878931242,46.373615344061065,0
205,206,46,Female,India,Tablet,55.78,12.87,8,62.547962653980434,184.3790232512523,7,0,1,55.42,0.62,6.382895116256262,29.05739061224465,0
209,210,22,Female,India,Mobile,54.62,3.87,8,37.84295490849607,407.2869157017378,2,12,2,93.23,0.74,3.997434578508689,41.21030877980176,0
211,212,24,Male,USA,Laptop,58.4,14.26,2,59.42907571391406,171.5385958185598,7,14,7,80.78,0.58,7.935692979092799,44.473737813730985,1
213,214,32,Female,USA,Tablet,56.9,10.61,8,52.81223330727502,493.0598016443215,0,2,1,67.23,0.53,5.848299008221608,26.46721799471208,1
214,215,28,Female,Canada,Laptop,53.26,11.82,7,46.498066544773245,216.13244135077247,3,5,4,67.64,0.64,6.026662206753861,38.4444153065923,0
215,216,46,Male,USA,Tablet,45.6,4.97,13,33.80805285796518,267.69260909720595,7,9,2,85.57,0.72,4.62946304548603,44.73029253583591,0
217,218,30,Male,Canada,Mobile,71.02,6.42,7,43.127962850726725,429.9875199714503,8,3,7,55.0,0.85,7.075937599857252,28.258498530198395,0
218,219,49,Female,Canada,Mobile,45.36,7.8,8,34.300981051924275,301.5625378708327,5,4,5,62.1,0.43,5.847812689354163,26.672326493378627,1
220,221,44,Female,Canada,Laptop,28.85,14.02,12,48.317214974284894,374.7289742971556,5,13,1,64.41,0.78,7.279644871485778,29.900508543622568,0
221,222,36,Male,USA,Tablet,63.28,8.91,7,38.49618117725309,228.58646467287048,9,7,2,104.83,0.85,6.0159323233643525,56.16353897379371,0
224,225,19,Male,USA,Tablet,46.25,14.98,4,24.712287947908365,258.3173604491501,7,6,3,97.77,0.47,7.785586802245751,49.85869083594672,1
225,226,27,Female,India,Laptop,56.15,11.04,3,40.89256655338817,276.081604921251,9,7,4,89.22,0.75,7.292408024606255,38.11471602832943,0
226,227,30,Male,India,Tablet,77.57,15.28,10,27.132341584075885,702.5428280454325,8,8,7,71.05,0.81,11.096714140227162,38.36612049582975,0
227,228,47,Male,USA,Mobile,30.76,11.41,6,40.35868501094495,314.6945484452015,0,3,6,82.87,0.52,6.196472742226008,45.087800443536096,1
228,229,42,Male,India,Laptop,60.33,12.21,1,42.34037789755818,102.89120856763296,1,7,2,77.94,0.97,4.777456042838166,48.04754663339778,0
230,231,23,Male,India,Laptop,66.94,4.63,10,48.471199556511394,144.389467534136,4,12,6,48.37,0.94,4.11094733767068,21.98735853690425,0
238,239,28,Male,India,Tablet,42.19,10.54,4,49.82543608987559,283.2826994258375,9,4,7,76.03,0.99,7.778413497129187,42.78572634002136,0
239,240,49,Female,USA,Mobile,39.77,9.59,6,29.732503217515077,290.05598478395734,5,1,5,79.2,0.81,6.327279923919787,40.527688268204976,0
241,242,40,Male,USA,Tablet,48.63,6.37,3,43.97950169201479,221.08579678965657,4,12,3,62.03,0.94,4.416428983948283,32.518610993716536,0
245,246,47,Male,USA,Tablet,73.29,13.86,4,30.607390579811387,357.1787911767844,7,9,5,79.05,0.88,8.343893955883921,36.72992833931562,0
247,248,18,Male,India,Laptop,61.97,13.94,4,32.28173676336512,332.88585154992893,3,13,5,29.13,0.61,7.446429257749644,15.291084867634572,0
248,249,42,Male,USA,Mobile,52.19,11.3,12,20.49404023118789,315.952036052368,5,7,3,68.06,0.92,6.56976018026184,32.539512894919454,0
250,251,47,Female,India,Mobile,35.7,7.55,6,13.593842192456094,408.4593180265572,2,13,6,88.04,0.63,5.907296590132786,43.92727383263555,0
252,253,37,Male,India,Laptop,43.93,1.54,14,68.68167874191309,236.4444767453711,0,0,3,53.13,0.46,2.244222383726856,24.537647673333595,1
253,254,30,Female,India,Mobile,54.16,12.52,9,58.73840740610359,218.1703891240996,8,13,6,65.55,0.51,7.646851945620498,34.97594679666036,1
254,255,26,Female,USA,Mobile,32.43,4.96,7,49.097160234359215,208.24259284096067,2,13,2,54.44,0.87,3.329212964204803,19.210437281520285,0
258,259,25,Female,Canada,Tablet,45.38,15.25,12,43.82142049439643,243.76499716002465,6,11,7,39.99,0.9,8.393824985800123,28.797049975250754,0
260,261,26,Female,USA,Mobile,47.71,12.36,13,17.089313096105418,131.3504578828336,4,12,1,57.67,0.6,5.364752289414168,31.31538283046605,0
262,263,22,Male,India,Mobile,55.13,5.68,4,52.93995377043859,234.58105129979447,8,3,3,56.05,0.53,5.076905256498973,30.915478172558952,1
263,264,18,Female,Canada,Tablet,45.03,12.17,9,40.34164675464868,157.15807828149934,4,12,4,93.87,0.76,6.0367903914074965,58.43530345870065,0
266,267,29,Male,Canada,Tablet,31.09,17.48,11,59.77128899031869,194.03279856983883,5,4,7,100.64,0.85,8.614163992849194,55.72441936339766,0
270,271,39,Female,India,Laptop,36.67,5.51,3,28.36366530711123,266.5133311613396,8,4,3,63.81,0.78,5.1855666558066975,32.52439058750578,0
271,272,49,Male,Canada,Laptop,32.81,10.46,6,1.5800802581158422,228.82809647584517,2,6,5,85.42,0.44,5.682140482379227,42.875787544311855,1
272,273,49,Male,USA,Laptop,74.58,8.57,8,51.51958342404685,491.3484666029247,7,5,6,73.24,0.58,7.627742333014624,41.756392598036456,1
274,275,26,Female,Canada,Laptop,41.72,16.18,13,36.8194829974429,208.64054128422995,8,4,4,106.21,0.81,8.29720270642115,54.80412793959138,0
275,276,37,Female,Canada,Laptop,61.59,6.94,11,44.01745867182987,423.41510400678015,6,5,6,60.05,0.99,6.599075520033901,32.57090744126071,0
277,278,47,Female,Canada,Laptop,52.01,8.08,8,18.108001785366667,465.9779734809762,0,0,1,65.85,0.61,4.9538898674048815,29.906551800126557,0
278,279,34,Male,Canada,Tablet,35.89,7.88,4,8.861207093531867,234.88197463473196,0,11,6,48.25,0.98,4.73840987317366,29.17133657427251,0
280,281,37,Female,India,Tablet,42.2,13.11,12,27.982398403159927,490.62016629798086,7,5,2,67.45,0.54,8.186100831489904,45.16379658942625,1
282,283,47,Female,USA,Mobile,55.48,10.17,13,50.66780129758155,216.41159843274696,9,3,5,73.54,0.63,6.933057992163735,36.71565797483347,0
285,286,20,Female,Canada,Tablet,62.9,2.7,2,14.673688468233532,320.77125311320043,9,6,2,67.76,0.82,4.613856265566002,35.18163203421868,0
286,287,34,Female,USA,Laptop,58.52,6.19,2,35.496389792198194,215.82551102320272,2,1,2,67.5,0.4,3.736127555116013,34.38818689913416,1
287,288,22,Male,USA,Laptop,38.66,12.61,10,47.88380317743275,173.82147596566173,1,12,5,47.46,0.89,5.8521073798283085,19.40258641376193,0
291,292,44,Male,India,Mobile,72.44,12.2,7,45.61652814578903,377.3032220078135,6,0,2,58.45,0.69,7.146516110039068,27.57122903417838,0
295,296,45,Male,USA,Tablet,45.82,7.7,11,29.126717789984344,323.2223422038859,9,3,2,69.82,0.73,6.12611171101943,32.074813257145294,0
296,297,39,Male,USA,Mobile,29.88,10.58,4,60.95983063796663,355.7169156059881,2,11,7,72.19,0.97,6.752584578029941,33.02606218529442,0
298,299,22,Male,Canada,Tablet,64.79,0.51,6,72.78289170223249,360.35792489954105,6,4,1,64.4,0.88,3.3547896244977053,30.85964678035653,0
300,301,18,Female,India,Mobile,56.48,5.71,12,22.47280379214181,350.4961080732148,2,9,2,83.08,0.97,4.265480540366074,44.07799676347189,0
304,305,19,Female,India,Laptop,64.84,15.52,2,64.83161546790541,440.7147265713498,7,1,2,64.57,0.93,8.65957363285675,31.25993687264367,0
307,308,43,Female,India,Laptop,44.74,6.22,6,26.50594770907543,128.7781156831539,0,14,7,67.65,0.51,3.90989057841577,40.78529268890099,1
308,309,49,Female,Canada,Tablet,28.32,8.97,5,22.475494289491348,403.6583396511587,9,4,3,55.06,0.87,7.109291698255793,27.128105043957003,0
311,312,40,Male,USA,Mobile,54.84,14.71,9,59.120653418642206,509.0744077272134,9,3,6,65.14,0.92,9.958372038636067,35.24140729447415,0
313,314,40,Male,Canada,Mobile,20.68,10.95,5,56.037809832587456,272.4785898328733,1,4,5,54.14,0.46,5.847392949164367,31.248861071542077,1
315,316,41,Female,Canada,Laptop,44.61,15.97,11,53.77722212801026,16.00915336131561,6,2,6,79.13,0.59,7.271045766806579,41.43832186971904,1
316,317,44,Male,USA,Mobile,75.91,7.56,8,60.53029316242886,159.4087793985007,8,9,4,59.16,0.63,5.465043896992503,32.65306954805704,0
319,320,23,Male,USA,Mobile,50.09,11.17,8,37.78470075633712,290.6386195706572,5,9,6,90.08,0.43,7.004193097853286,46.36917157196223,1
321,322,22,Male,India,Laptop,22.1,11.9,4,38.39747146628757,213.30434364232656,9,13,2,36.38,0.42,6.836521718211633,26.58130719468647,1
323,324,19,Male,India,Laptop,49.79,17.85,14,33.71633630098748,297.99534606691384,0,0,6,58.96,0.87,8.04497673033457,35.53828279775896,0
325,326,39,Male,India,Mobile,47.68,13.39,11,30.138974272697567,-55.010744943999725,9,7,4,31.22,0.75,6.3419462752800015,13.545197818484784,0
327,328,48,Male,Canada,Laptop,37.35,11.85,6,70.40413817474308,184.48392663895487,6,6,6,53.12,0.67,6.877419633194775,27.29494297478188,0
329,330,33,Male,USA,Tablet,70.11,18.46,8,66.7026338494685,248.08212128878296,3,12,2,61.46,0.63,7.778410606443915,29.937218540169624,0
332,333,45,Female,Canada,Laptop,31.73,15.4,5,44.08004612957201,366.5264498310761,7,8,5,71.26,0.46,8.85263224915538,39.886149899398944,1
335,336,33,Female,USA,Tablet,48.57,13.62,12,29.04886522492306,150.40170826920266,3,0,7,64.6,0.79,6.838008541346014,29.286228536059834,0
340,341,44,Male,Canada,Tablet,48.44,5.02,13,43.15118342632016,187.3037861676199,1,8,2,59.21,0.89,3.0425189308380998,32.48566416395988,0
341,342,21,Male,Canada,Mobile,30.96,9.6,6,57.8456470113658,146.9706339660558,8,11,3,56.63,0.97,5.814853169830279,25.74323892847677,0
342,343,36,Female,USA,Mobile,36.27,7.04,11,13.63223397959441,231.29989861002588,4,14,4,66.75,0.57,4.8684994930501295,32.6916838515256,1
344,345,20,Male,USA,Laptop,26.17,15.07,4,33.13575175760489,440.4895897443862,7,10,1,78.18,0.63,8.323447948721931,34.65627443081243,0
345,346,48,Male,USA,Laptop,63.3,16.42,7,35.6829331977372,387.93075735584426,4,11,3,77.7,0.41,8.265653786779222,46.05658384325936,1
352,353,18,Male,USA,Tablet,50.55,9.9,9,33.48902642150047,278.03577405894293,7,10,3,79.01,0.9,6.360178870294716,42.50395438106732,0
358,359,18,Female,USA,Mobile,61.92,12.68,11,44.9958494657485,128.66611201339646,4,10,1,68.3,0.9,5.447330560066982,31.094407191302885,0
359,360,28,Female,Canada,Laptop,55.25,13.32,6,42.38863511139757,321.22234288816884,9,2,4,98.93,0.57,8.202111714440845,58.92822786151482,1
360,361,45,Female,USA,Tablet,46.9,7.49,11,47.941834891443925,301.0638434565074,5,12,2,91.12,0.57,5.152319217282537,38.59676453544603,1
362,363,42,Male,Canada,Laptop,53.57,8.97,5,30.84321694528889,116.58182762948276,5,6,3,59.82,0.92,4.873909138147415,33.89956015079203,0
364,365,40,Female,Canada,Laptop,49.11,5.72,14,58.08348923052756,40.556724772469465,3,4,3,85.51,0.51,3.118783623862348,49.4642811112444,1
366,367,47,Female,India,Tablet,41.47,8.11,14,35.54498761093562,249.8492209278763,6,6,7,69.95,0.66,6.282246104639382,38.607140737674136,0
367,368,27,Male,Canada,Laptop,61.37,4.74,14,61.68994329583187,304.371262661502,1,7,7,39.33,0.69,4.54385631330751,18.515713097669767,0
368,369,20,Male,India,Tablet,60.48,7.86,14,34.063821104439995,280.22045353929053,1,0,4,87.31,0.72,4.759102267696453,47.01862978566151,0
369,370,24,Male,USA,Tablet,59.35,7.29,4,22.887427659075712,139.12222389202662,0,1,3,60.6,0.7,3.482611119460133,24.216404372483733,0
370,371,45,Female,USA,Tablet,54.74,6.58,14,39.2848793594228,27.789332089435614,3,3,6,80.85,0.97,3.912946660447178,46.63090670604461,0
371,372,33,Female,Canada,Laptop,55.35,11.51,10,41.31111102043976,446.3908447366976,0,14,1,79.02,0.55,5.884954223683487,45.89031732734586,1
373,374,33,Female,USA,Mobile,65.72,10.3,4,41.49393083051369,373.04111269971895,1,5,5,83.63,0.55,6.155205563498595,36.08066018255563,1
374,375,42,Male,India,Mobile,45.81,6.85,5,21.643001922188503,88.96012850736861,5,9,5,81.97,0.59,4.499800642536843,38.80905386759046,1
375,376,37,Male,Canada,Mobile,37.27,11.95,14,23.825737621240677,298.430378623507,5,3,6,90.03,0.56,7.2771518931175345,47.44675021709376,1
376,377,45,Female,Canada,Laptop,43.83,8.76,11,45.71244504182882,233.76363972993488,3,5,2,75.78,0.87,4.7968181986496745,47.490767269442,0
378,379,19,Male,Canada,Laptop,53.03,4.96,8,36.29344315443315,475.1392692473419,4,5,4,78.9,0.66,5.463696346236709,44.69761300826183,0
380,381,33,Male,India,Tablet,46.34,8.46,8,42.50022946611789,71.53813442648118,5,8,4,60.12,0.73,4.695690672132407,34.39158121977454,0
384,385,22,Male,India,Mobile,67.42,5.6,13,18.36473596424991,182.6924011996064,2,6,7,66.21,0.6,4.393462005998032,34.49160213101963,0
385,386,49,Male,Canada,Mobile,79.51,9.86,3,33.39961221479248,400.3973546947475,8,3,2,63.41,0.65,6.959986773473737,31.7821783280056,0
